region,crop,yield,sem,moist_content,harvest_index,rs_ratio,project_c_inp,baseline_c_inp
UPPER WEST,MAIZE,1.4279885057471264,0.04070699200334815,0.13,0.48,0.1,0.907524274047187,0.2461870973230491
UPPER WEST,RICE,1.4554225352112677,0.04612825202840068,0.13,0.17,0.2,4.211488150263812,1.173721673461824
UPPER WEST,YAM,14.633448275862069,0.43454691226484554,0.7,0.5,1.0,21.141481851179673,14.885682713248638
UPPER WEST,SORGHUM,1.025664739884393,0.031438304716676004,0.12,0.29,0.01,1.230518468785078,0.1570188474974561
UPPER WEST,MILLET,0.8903468208092488,0.02409860328228571,0.12,0.34,0.2,1.0878494514934054,0.3489925235777305
UPPER WEST,GROUNDNUT,1.3395348837209304,0.029380337459768688,0.1,0.37,0.1,1.2836097786893381,0.3085550960997717
UPPER WEST,COWPEA,0.9066666666666666,0.029904906045208623,0.1,0.23,0.1,1.6460045766590388,0.34838718535469115
UPPER WEST,SOYABEAN,1.064695652173913,0.03594879860462159,0.13,0.34,0.09,1.1377080629963656,0.25416724458204343
