Year,Month,DPM_t_C_ha,RPM_t_C_ha,BIO_t_C_ha,HUM_t_C_ha,IOM_t_C_ha,SOC_t_C_ha,deltaC
1,8052,0.253418384,2.659770083,0.36306269,12.57584787,3.238511909,19.09061094,-173.7120253
2025,12,0.253418384,2.659770083,0.363062687,12.5758469,3.238511909,19.09060997,-173.7120306
2026,12,0.541405824,2.676893247,0.335948743,12.54084974,3.238511909,19.33360946,-171.5281226
2027,12,0.253423564,2.672107741,0.365175189,12.57422973,3.238511909,19.10344814,-173.5949535
2028,12,0.253418384,2.668659667,0.364416273,12.57478617,3.238511909,19.0997924,-173.6282956
2029,12,0.253418384,2.666175245,0.363949822,12.57517434,3.238511909,19.0972297,-173.6516613
2030,12,0.253418384,2.664385159,0.36365594,12.57544675,3.238511909,19.09541814,-173.6681714
2031,12,0.253418384,2.663095358,0.36346625,12.57563841,3.238511909,19.09413031,-173.6799025
2032,12,0.253418384,2.662166025,0.363341099,12.57577329,3.238511909,19.09321071,-173.6882747
2033,12,0.253418384,2.661496418,0.363256946,12.57586801,3.238511909,19.09255166,-173.6942713
2034,12,0.253418384,2.661013949,0.363199456,12.57593419,3.238511909,19.09207789,-173.6985795
2035,12,0.253418384,2.660666319,0.363159674,12.57598005,3.238511909,19.09173634,-173.7016836
2036,12,0.253418384,2.660415843,0.363131866,12.57601139,3.238511909,19.09148939,-173.7039266
2037,12,0.253418384,2.660235369,0.363112273,12.57603235,3.238511909,19.09131029,-173.7055524
2038,12,0.253418384,2.660105333,0.363098386,12.5760459,3.238511909,19.09117991,-173.7067353
2039,12,0.253418384,2.660011639,0.363088498,12.57605414,3.238511909,19.09108457,-173.7075998
2040,12,0.253418384,2.65994413,0.363081432,12.5760586,3.238511909,19.09101446,-173.7082354
2041,12,0.253418384,2.659895488,0.363076369,12.57606037,3.238511909,19.09096252,-173.708706
2042,12,0.253418384,2.65986044,0.363072734,12.57606022,3.238511909,19.09092369,-173.7090578
2043,12,0.253418384,2.659835188,0.363070119,12.57605872,3.238511909,19.09089432,-173.7093238
2044,12,0.253418384,2.659816992,0.363068235,12.57605628,3.238511909,19.0908718,-173.7095278
2045,12,0.253418384,2.659803882,0.363066876,12.57605318,3.238511909,19.09085423,-173.7096869
2046,12,0.253418384,2.659794436,0.363065893,12.57604964,3.238511909,19.09084026,-173.7098135
2047,12,0.253418384,2.65978763,0.363065181,12.5760458,3.238511909,19.0908289,-173.7099165
2048,12,0.253418384,2.659782726,0.363064664,12.57604176,3.238511909,19.09081945,-173.7100022
2049,12,0.253418384,2.659779193,0.363064287,12.57603762,3.238511909,19.09081139,-173.7100753
2050,12,0.253418384,2.659776647,0.363064011,12.57603342,3.238511909,19.09080437,-173.710139
2051,12,0.253418384,2.659774812,0.363063809,12.5760292,3.238511909,19.09079811,-173.7101958
2052,12,0.253418384,2.659773491,0.363063658,12.57602499,3.238511909,19.09079243,-173.7102474
2053,12,0.253418384,2.659772538,0.363063546,12.5760208,3.238511909,19.09078718,-173.710295
2054,12,0.253418384,2.659771852,0.363063462,12.57601666,3.238511909,19.09078227,-173.7103396
2055,12,0.253418384,2.659771358,0.363063397,12.57601257,3.238511909,19.09077762,-173.7103818
2056,12,0.253418384,2.659771001,0.363063346,12.57600854,3.238511909,19.09077318,-173.710422
2057,12,0.253418384,2.659770745,0.363063306,12.57600457,3.238511909,19.09076892,-173.7104607
2058,12,0.253418384,2.65977056,0.363063273,12.57600067,3.238511909,19.0907648,-173.710498
2059,12,0.253418384,2.659770426,0.363063246,12.57599684,3.238511909,19.0907608,-173.7105342
2060,12,0.253418384,2.65977033,0.363063223,12.57599307,3.238511909,19.09075691,-173.7105694
2061,12,0.253418384,2.659770261,0.363063203,12.57598937,3.238511909,19.09075312,-173.7106037
2062,12,0.253418384,2.659770211,0.363063185,12.57598573,3.238511909,19.09074942,-173.7106371
2063,12,0.253418384,2.659770175,0.363063169,12.57598216,3.238511909,19.0907458,-173.7106698
2064,12,0.253418384,2.65977015,0.363063154,12.57597866,3.238511909,19.09074226,-173.7107018
2065,12,0.253418384,2.659770131,0.36306314,12.57597523,3.238511909,19.09073879,-173.7107331
