example input data to run RothC for a number of years
clay and depth are only needed once, other data are monthly jan-dec 
 (%)     (cm)  (t C/ha)      (-)
clay	depth	    iom   nsteps
18.0	30.0	 3.0041      0
(-)    (-)       (%)    (C)     (mm)    (mm)  (t C/ha) (t C/ha) (-)      (-) 
year  month    modern	Tmp	Rain	Evap   C_inp	FYM	PC    DPM_RPM
2030	7	100	26.6	139.7	176.00	0	0	1	1.44
2030	8	100	26.0	241.0	164.00	0	0	1	1.44
2030	9	100	26.4	198.1	162.67	0	0	1	1.44
2030	10	100	28.0	82.9	190.67	0.124	0	1	1.44
2030	11	100	28.8	5.2	192.00	0	0	0	1.44
2030	12	100	27.8	0.3	192.00	0	0	0	1.44
2031	1	100	27.7	5.0	193.33	0	0	0	1.44
2031	2	100	30.3	10.9	200.00	0	0	0	1.44
2031	3	100	31.8	20.9	230.67	0	0	0	1.44
2031	4	100	30.9	86.4	225.33	0	0	0	1.44
2031	5	100	29.3	130.1	220.00	0	0	1	1.44
2031	6	100	27.6	141.8	192.00	0	0	1	1.44
2031	7	100	26.6	139.7	176.00	0	0	1	1.44
2031	8	100	26.0	241.0	164.00	0	0	1	1.44
2031	9	100	26.4	198.1	162.67	0	0	1	1.44
2031	10	100	28.0	82.9	190.67	0.124	0	1	1.44
2031	11	100	28.8	5.2	192.00	0	0	0	1.44
2031	12	100	27.8	0.3	192.00	0	0	0	1.44
2032	1	100	27.7	5.0	193.33	0	0	0	1.44
2032	2	100	30.3	10.9	200.00	0	0	0	1.44
2032	3	100	31.8	20.9	230.67	0	0	0	1.44
2032	4	100	30.9	86.4	225.33	0	0	0	1.44
2032	5	100	29.3	130.1	220.00	0	0	1	1.44
2032	6	100	27.6	141.8	192.00	0	0	1	1.44
2032	7	100	26.6	139.7	176.00	0	0	1	1.44
2032	8	100	26.0	241.0	164.00	0	0	1	1.44
2032	9	100	26.4	198.1	162.67	0	0	1	1.44
2032	10	100	28.0	82.9	190.67	0.124	0	1	1.44
2032	11	100	28.8	5.2	192.00	0	0	0	1.44
2032	12	100	27.8	0.3	192.00	0	0	0	1.44
2033	1	100	27.7	5.0	193.33	0	0	0	1.44
2033	2	100	30.3	10.9	200.00	0	0	0	1.44
2033	3	100	31.8	20.9	230.67	0	0	0	1.44
2033	4	100	30.9	86.4	225.33	0	0	0	1.44
2033	5	100	29.3	130.1	220.00	0	0	1	1.44
2033	6	100	27.6	141.8	192.00	0	0	1	1.44
2033	7	100	26.6	139.7	176.00	0	0	1	1.44
2033	8	100	26.0	241.0	164.00	0	0	1	1.44
2033	9	100	26.4	198.1	162.67	0	0	1	1.44
2033	10	100	28.0	82.9	190.67	0.124	0	1	1.44
2033	11	100	28.8	5.2	192.00	0	0	0	1.44
2033	12	100	27.8	0.3	192.00	0	0	0	1.44
2034	1	100	27.7	5.0	193.33	0	0	0	1.44
2034	2	100	30.3	10.9	200.00	0	0	0	1.44
2034	3	100	31.8	20.9	230.67	0	0	0	1.44
2034	4	100	30.9	86.4	225.33	0	0	0	1.44
2034	5	100	29.3	130.1	220.00	0	0	1	1.44
2034	6	100	27.6	141.8	192.00	0	0	1	1.44
2034	7	100	26.6	139.7	176.00	0	0	1	1.44
2034	8	100	26.0	241.0	164.00	0	0	1	1.44
2034	9	100	26.4	198.1	162.67	0	0	1	1.44
2034	10	100	28.0	82.9	190.67	0.124	0	1	1.44
2034	11	100	28.8	5.2	192.00	0	0	0	1.44
2034	12	100	27.8	0.3	192.00	0	0	0	1.44
2035	1	100	27.7	5.0	193.33	0	0	0	1.44
2035	2	100	30.3	10.9	200.00	0	0	0	1.44
2035	3	100	31.8	20.9	230.67	0	0	0	1.44
2035	4	100	30.9	86.4	225.33	0	0	0	1.44
2035	5	100	29.3	130.1	220.00	0	0	1	1.44
2035	6	100	27.6	141.8	192.00	0	0	1	1.44
2035	7	100	26.6	139.7	176.00	0	0	1	1.44
2035	8	100	26.0	241.0	164.00	0	0	1	1.44
2035	9	100	26.4	198.1	162.67	0	0	1	1.44
2035	10	100	28.0	82.9	190.67	0.124	0	1	1.44
2035	11	100	28.8	5.2	192.00	0	0	0	1.44
2035	12	100	27.8	0.3	192.00	0	0	0	1.44
