Year,Month,DPM_t_C_ha,RPM_t_C_ha,BIO_t_C_ha,HUM_t_C_ha,IOM_t_C_ha,SOC_t_C_ha,deltaC
1,8016,0.187392649,2.571482044,0.355773816,13.51684861,3.238511909,19.87000903,-167.2246801
2025,12,0.187392649,2.571482044,0.355773812,13.51684764,3.238511909,19.87000805,-167.2246849
2026,12,0.187392649,2.571482044,0.355773809,13.51684668,3.238511909,19.87000709,-167.2246896
2027,12,0.187392649,2.571482044,0.355773806,13.51684575,3.238511909,19.87000615,-167.2246942
2028,12,0.187392649,2.571482044,0.355773803,13.51684483,3.238511909,19.87000523,-167.2246988
2029,12,0.187392649,2.571482044,0.355773799,13.51684393,3.238511909,19.87000433,-167.2247032
2030,12,0.187392649,2.571482044,0.355773796,13.51684304,3.238511909,19.87000344,-167.2247076
2031,12,0.187392649,2.571482044,0.355773793,13.51684218,3.238511909,19.87000257,-167.2247118
2032,12,0.187392649,2.571482044,0.35577379,13.51684132,3.238511909,19.87000172,-167.224716
2033,12,0.187392649,2.571482044,0.355773787,13.51684049,3.238511909,19.87000088,-167.2247201
2034,12,0.187392649,2.571482044,0.355773785,13.51683967,3.238511909,19.87000006,-167.2247241
2035,12,0.187392649,2.571482044,0.355773782,13.51683887,3.238511909,19.86999925,-167.2247281
2036,12,0.187392649,2.571482044,0.355773779,13.51683808,3.238511909,19.86999846,-167.2247319
2037,12,0.187392649,2.571482044,0.355773776,13.5168373,3.238511909,19.86999768,-167.2247357
2038,12,0.187392649,2.571482044,0.355773774,13.51683654,3.238511909,19.86999692,-167.2247394
2039,12,0.187392649,2.571482044,0.355773771,13.5168358,3.238511909,19.86999617,-167.224743
2040,12,0.187392649,2.571482044,0.355773769,13.51683507,3.238511909,19.86999544,-167.2247466
2041,12,0.187392649,2.571482044,0.355773766,13.51683435,3.238511909,19.86999472,-167.2247501
2042,12,0.187392649,2.571482044,0.355773764,13.51683365,3.238511909,19.86999401,-167.2247535
2043,12,0.187392649,2.571482044,0.355773761,13.51683296,3.238511909,19.86999332,-167.2247569
2044,12,0.187392649,2.571482044,0.355773759,13.51683228,3.238511909,19.86999264,-167.2247601
2045,12,0.187392649,2.571482044,0.355773756,13.51683162,3.238511909,19.86999198,-167.2247633
2046,12,0.187392649,2.571482044,0.355773754,13.51683097,3.238511909,19.86999132,-167.2247665
2047,12,0.187392649,2.571482044,0.355773752,13.51683033,3.238511909,19.86999068,-167.2247696
2048,12,0.187392649,2.571482044,0.35577375,13.5168297,3.238511909,19.86999005,-167.2247726
2049,12,0.187392649,2.571482044,0.355773748,13.51682909,3.238511909,19.86998943,-167.2247756
2050,12,0.187392649,2.571482044,0.355773746,13.51682848,3.238511909,19.86998883,-167.2247785
2051,12,0.187392649,2.571482044,0.355773743,13.51682789,3.238511909,19.86998823,-167.2247813
2052,12,0.187392649,2.571482044,0.355773741,13.51682731,3.238511909,19.86998765,-167.2247841
2053,12,0.187392649,2.571482044,0.355773739,13.51682674,3.238511909,19.86998708,-167.2247868
2054,12,0.187392649,2.571482044,0.355773737,13.51682618,3.238511909,19.86998652,-167.2247895
2055,12,0.187392649,2.571482044,0.355773736,13.51682563,3.238511909,19.86998597,-167.2247921
2056,12,0.187392649,2.571482044,0.355773734,13.51682509,3.238511909,19.86998543,-167.2247947
2057,12,0.187392649,2.571482044,0.355773732,13.51682456,3.238511909,19.8699849,-167.2247972
2058,12,0.187392649,2.571482044,0.35577373,13.51682405,3.238511909,19.86998438,-167.2247997
2059,12,0.187392649,2.571482044,0.355773728,13.51682354,3.238511909,19.86998387,-167.2248021
2060,12,0.187392649,2.571482044,0.355773726,13.51682304,3.238511909,19.86998337,-167.2248045
2061,12,0.187392649,2.571482044,0.355773725,13.51682255,3.238511909,19.86998287,-167.2248068
2062,12,0.187392649,2.571482044,0.355773723,13.51682207,3.238511909,19.86998239,-167.2248091
2063,12,0.187392649,2.571482044,0.355773721,13.5168216,3.238511909,19.86998192,-167.2248113
2064,12,0.187392649,2.571482044,0.35577372,13.51682114,3.238511909,19.86998146,-167.2248135
2065,12,0.187392649,2.571482044,0.355773718,13.51682068,3.238511909,19.869981,-167.2248156
